Decks,Set,ELO
"Zurgo, Thunder's Decree",tdm,114.34518654488585
"Obyra, Dreaming Duelist",woe,114.49232657604668
"Chandra, Torch of Defiance",kld,114.69039552272828
"Raffine, Scheming Seer",snc,114.74639192173758
"Kaito, Bane of Nightmares",dsk,114.84809662191739
The Wandering Emperor,neo,114.90646839261645
"Glarb, Calamity's Augur",blb,115.25386114661968
"Far Fortune, End Boss",dft,115.5377919885521
Thalia and The Gitrog Monster,mom,116.59776640083074
"Dennick, Pious Apprentice",mid,117.29642435466556
"Illuna, Apex of Wishes",iko,118.23121436245737
The Swarmweaver,dsk,119.46237485923109
"Mabel, Heir to Cragflame",blb,120.11092554221938
"Nicol Bolas, Dragon-God",war,120.68876908100827
"Venser, Corpse Puppet",one,122.04069344794155
"Sigarda, Champion of Light",mid,122.35602302264523
"Niko, Light of Hope",dsk,124.59742092158837
"Finneas, Ace Archer",blb,130.9947727826923
"Arabella, Abandoned Doll",dsk,137.7198097488396
