Decks,Set,ELO
"Depala, Pilot Exemplar",kld,105.73389476080125
"Skithiryx, the Blight Dragon",som,109.82156975763341
"Korvold, Fae-Cursed King",eld,109.96368718997667
"Etrata, the Silencer",grn,109.9946759580555
"Nashi, Searcher in the Dark",dsk,110.0626307787551
"Huatli, Poet of Unity",lci,110.56816893348021
"Raffine, Scheming Seer",snc,114.28725419685598
"Obyra, Dreaming Duelist",woe,114.4351318507382
Thalia and The Gitrog Monster,mom,114.47178032056425
The Swarmweaver,dsk,114.62691132279355
The Wandering Emperor,neo,114.8640103236289
"Atraxa, Grand Unifier",one,114.90907812937095
"Glarb, Calamity's Augur",blb,115.02905332686697
"Finneas, Ace Archer",blb,128.91097141706584
"Arabella, Abandoned Doll",dsk,129.55107327487252
"Niko, Light of Hope",dsk,137.07679827051663
